Binomial,cytb,coi,nd2,nd3,rag1,bfib5,bfib7,gapdh,myo,odc
Myrmecocichla_melaena,HM633349,NA,NA,NA,NA,NA,NA,NA,HM633631,HM633762
Myrmecocichla_nigra,GU237093,NA,GU237119,NA,NA,NA,NA,GU359017,GU358752,GU358882
Myrmecocichla_semirufa,GU237099,NA,GU237125,NA,NA,NA,NA,GU359035,GU358770,GU358900
Myrmia_micrura,NA,NA,GU167243,NA,NA,NA,GU167133 - Bfib intron 7,NA,NA,GU167045
Myrmoborus_leucophrys,NA,NA,HM449843,NA,FJ461193,NA,NA,NA,NA,NA
Myrmoborus_myotherinus,AY676961,NA,EF640035,EF640102,NA,EF639902,NA,AY677058,AY677008,NA
Myrmochanes_hemileucus,AY676965,NA,EF640036,EF640103,FJ461196,EF639903,NA,AY677062,AY677012,NA
Myrmorchilus_strigilatus,AY676959,NA,EF640037,EF640104,FJ461185,EF639904,NA,AY677054,AY677006,NA
Myrmornis_torquata,EF639971,NA,EF640038,EF640105,FJ461205,EF639905,NA,AY677072,AY677022,NA
Myrmothera_campanisona,AY370548,NA,AF127217,NA,NA,NA,NA,NA,NA,NA
Myrmothera_simplex,AY370549,NA,AY370586,AY489550,FJ461213,NA,AY489452,NA,NA,NA
Myrmotherula_ambigua,HM637161,NA,HM637250,HM637113,NA,HM637207,NA,NA,NA,NA
Myrmotherula_assimilis,HM637172,NA,HM637261,HM637125,NA,HM637219,NA,NA,NA,NA
Myrmotherula_axillaris,EF639972,NA,EF640039,EF640106,FJ461183,EF639906,NA,AY677048,AY677001,NA
Myrmotherula_behni,AY676956,NA,HM637260,HM637123,NA,HM637217,NA,AY677050,AY677003,NA
Myrmotherula_brachyura,EF639973,NA,EF640040,EF640107,NA,NA,NA,NA,NA,NA
Myrmotherula_cherriei,GU215261,NA,HM637254,HM637117,NA,HM637211,NA,NA,NA,NA
Myrmotherula_grisea,HM637169,NA,HM637259,HM637122,NA,HM637216,NA,NA,NA,NA
Myrmotherula_gutturalis,HM637155,NA,HM637245,HM637107,NA,HM637202,NA,NA,NA,NA
Myrmotherula_hauxwelli,AF118160,NA,AY612538,HM637119,NA,HM637213,NA,NA,NA,NA
Myrmotherula_ignota,FJ899324,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myrmotherula_iheringi,NA,NA,HM449844,NA,NA,NA,NA,NA,NA,NA
Myrmotherula_klagesi,HM637165,NA,HM637255,HM637118,NA,HM637212,NA,NA,NA,NA
Myrmotherula_longicauda,EF639974,NA,EF640041,EF640108,NA,EF639907,NA,NA,NA,NA
Myrmotherula_longipennis,AF118159,NA,AY612566,HM637121,NA,HM637215,NA,NA,NA,NA
Myrmotherula_menetriesii,AY676955,NA,HM449845,HM637124,NA,HM637218,NA,AY677049,AY677002,NA
Myrmotherula_multostriata,GU215267,NA,HM637252,HM637115,NA,HM637209,NA,NA,NA,NA
Myrmotherula_pacifica,GU215268,NA,HM637253,HM637116,NA,HM637210,NA,NA,NA,NA
Myrmotherula_schisticolor,FJ222634,NA,GU215399,HM637120,NA,HM637214,NA,NA,NA,NA
Myrmotherula_sclateri,HM637162,NA,HM637251,HM637114,NA,HM637208,NA,NA,NA,NA
Myrmotherula_surinamensis,GU215271,NA,NA,NA,NA,NA,NA,NA,NA,NA
Myrtis_fanny,NA,NA,AY830503,NA,NA,NA,AY830654 - Bfib intron 7,NA,NA,GU167046
Mystacornis_crossleyi,AF094635,NA,FJ178356,NA,NA,FJ178360,NA,NA,FJ178361,NA
Myzomela_cardinalis,AY488364,NA,AY488292,AY489512,NA,AY488445,AY489411,NA,NA,NA
Myzomela_cineracea,NA,NA,DQ469054,NA,NA,NA,NA,NA,NA,NA
Myzomela_eques,AF197865,NA,DQ469060,NA,NA,NA,NA,NA,NA,NA
Myzomela_erythrocephala,AY488365,NA,AY488406,NA,NA,AY488446,NA,NA,NA,NA
Myzomela_lafargei,NA,NA,DQ469057,NA,NA,NA,NA,NA,NA,NA
Myzomela_obscura,AY488366,NA,AY488293,NA,NA,AY488447,NA,NA,NA,NA
Myzomela_rosenbergii,AY488367,NA,AY488294,NA,NA,AY488448,NA,NA,NA,NA
Myzomela_sanguinolenta,AY488368,NA,AY488295,NA,NA,AY488449,NA,NA,NA,NA
Myzornis_pyrrhoura,NA,NA,NA,NA,FJ358116,NA,NA,FJ357881,FJ357951,FJ358050
Namibornis_herero,NA,NA,NA,NA,AY799820,NA,NA,NA,NA,NA
Nandayus_nenday,AY274038,AF370758,AY274066,NA,DQ143326,NA,NA,NA,NA,NA
Nannopsittaca_dachilleae,DQ143292,NA,DQ143320,NA,DQ143352,NA,NA,NA,NA,NA
Nannopsittaca_panychlora,NA,EU621633,EU327637,NA,NA,NA,NA,NA,NA,NA
Napothera_brevicaudata,AF484869,NA,NA,NA,NA,NA,NA,NA,NA,NA
Napothera_crassa,AF484870,NA,FJ460773,FJ460841,NA,NA,NA,NA,NA,NA
Napothera_epilepidota,AF484871,NA,DQ861983,NA,FJ358117,NA,NA,FJ357882,FJ357952,FJ358051
Nasica_longirostris,AY089797,NA,AY089835,AY089880,FJ461162,GQ140120,GQ906728,NA,AY442969,GQ140030
Neafrapus_cassini,AY294479,NA,AY294541,NA,NA,NA,NA,NA,NA,NA
Necrosyrtes_monachus,AY987258,NA,AY987077,NA,EF078749,NA,AY987178 - intron 7,NA,NA,NA
Nectarinia_adelberti,NA,NA,NA,AY233991,NA,NA,NA,NA,NA,NA
Nectarinia_afra,NA,NA,NA,AY630975,NA,NA,NA,NA,NA,NA
Nectarinia_alinae,NA,NA,NA,AY233992,NA,NA,NA,NA,NA,NA
Nectarinia_balfouri,AY235567,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nectarinia_bouvieri,NA,NA,NA,AY233993,NA,NA,NA,NA,NA,NA
Nectarinia_chalybea,NA,NA,NA,AY630976,NA,NA,NA,NA,NA,NA
Nectarinia_chloropygia,NA,NA,NA,AY630977,NA,NA,NA,NA,NA,NA
Nectarinia_coquerellii,AY235555,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nectarinia_dussumieri,AY235558,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nectarinia_erythrocerca,NA,NA,NA,AY233994,NA,NA,NA,NA,NA,NA
Nectarinia_humbloti,AY235563,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nectarinia_jugularis,FJ487781,FJ473169,GQ145271,AY233995,NA,NA,NA,NA,NA,NA
Nectarinia_kilimensis,NA,NA,NA,AY233996,NA,NA,NA,NA,NA,NA
Nectarinia_loveridgei,NA,NA,NA,AY630931,NA,NA,NA,NA,NA,NA
Nectarinia_mariquensis,FJ487739,FJ473131,NA,NA,NA,NA,NA,NA,NA,NA
Nectarinia_mediocris,NA,NA,NA,AY630940,NA,NA,NA,NA,NA,NA
Nectarinia_minulla,NA,NA,NA,AY630978,NA,NA,NA,NA,NA,NA
Nectarinia_moreaui,NA,NA,NA,AY630974,NA,NA,NA,NA,NA,NA
Nectarinia_olivacea,FJ487858,FJ473232,HQ116581,AY233998,AY057009,NA,NA,NA,GU816931,GU816904
Nectarinia_oritis,AF282816,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nectarinia_preussi,NA,NA,NA,AY630979,NA,NA,NA,NA,NA,NA
Nectarinia_pulchella,FJ487745,FJ473135,NA,NA,NA,NA,NA,NA,NA,NA
Nectarinia_regia,NA,NA,NA,AY630980,NA,NA,NA,NA,NA,NA
Nectarinia_rufipennis,NA,NA,NA,AY630981,NA,NA,NA,NA,NA,NA
Nectarinia_senegalensis,NA,NA,AF447293,AY233999,NA,NA,NA,NA,NA,NA
Nectarinia_sovimanga,AY235549,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nectarinia_sperata,NA,EU541459,NA,NA,NA,NA,NA,NA,NA,NA
Nectarinia_superba,NA,NA,GQ145291,GQ145249,NA,NA,NA,NA,NA,NA
Nectarinia_talatala,FJ487855,FJ473229,NA,AY234000,NA,NA,NA,NA,NA,NA
Nectarinia_venusta,NA,NA,AY136608,AY234001,NA,NA,NA,NA,NA,NA
Nectarinia_verticalis,NA,FJ473132,NA,NA,NA,NA,NA,NA,NA,NA
Nemosia_pileata,AF006241,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neochelidon_tibialis,AF074590,NA,AY826008,NA,NA,NA,AY827426 - beta-fibrinogen intron 7,NA,NA,NA
Neochen_jubata,AF173762,NA,HM063564,NA,NA,NA,NA,NA,NA,NA
Neochmia_modesta,AY495401,NA,NA,NA,NA,NA,AY494579 - fib intron 7,NA,NA,NA
Neochmia_phaeton,NA,NA,AY323593,NA,NA,NA,NA,NA,NA,NA
Neochmia_ruficauda,EU423977,NA,AY323592,NA,NA,NA,NA,NA,NA,NA
Neochmia_temporalis,EU423970,NA,AY323591,NA,NA,NA,NA,NA,NA,NA
Neocichla_gutturalis,NA,NA,EF468216,NA,NA,NA,NA,NA,NA,NA
Neocossyphus_poensis,AY206911,NA,NA,NA,AY307201,AY206877,NA,NA,HM633632,HM633763
Neocossyphus_rufus,AY329467,NA,AY752357,NA,NA,NA,NA,NA,HM633633,HM633764
Neoctantes_niger,EF639975,NA,EF640042,EF640109,FJ461178,EF639908,NA,AY677057,AY677007,NA
Neodrepanis_coruscans,NA,NA,NA,AY489516,AY443306,DQ320605,AY489416,DQ785900,DQ785976,DQ785936
Neolalage_banksiana,NA,NA,DQ084076,NA,NA,NA,NA,NA,DQ084103,NA
Neolestes_torquatus,NA,NA,GQ242083,GQ242117,NA,GQ242041,GQ242061 (reversed),NA,GQ242106,GQ242144
Neomixis_flavoviridis,AF094628,NA,NA,NA,NA,EU680650,NA,NA,EU680597,EU680730
Neomixis_striatigula,AF094640,NA,DQ871383,NA,NA,NA,NA,NA,DQ871427,NA
Neomixis_tenella,AF094637,NA,DQ871384,NA,NA,NA,NA,NA,DQ871428,NA
Neomixis_viridis,AF094638,NA,DQ871385,NA,NA,NA,NA,NA,DQ871429,NA
Neomorphus_geoffroyi,AF168114,AF168067,AY274064,NA,NA,NA,NA,NA,NA,NA
Neomorphus_pucheranii,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
Neomorphus_radiolosus,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
Neomorphus_rufipennis,NA,NA,Sorenson,NA,NA,NA,NA,NA,NA,NA
Neopelma_aurifrons,NA,NA,NA,NA,FJ501689,NA,NA,NA,NA,NA
Neopelma_chrysocephalum,AY370569,NA,DQ363978,NA,NA,EF501871,NA,NA,NA,NA
Neopelma_pallescens,NA,NA,NA,NA,NA,NA,NA,EU231646,EU231744,EU231845
Neopelma_sulphureiventer,EF633432,EF111042,GU985506,NA,NA,NA,NA,NA,NA,NA
Neophema_chrysogaster,NA,NA,NA,NA,GQ505219,NA,NA,NA,NA,NA
Neophema_chrysostoma,NA,NA,NA,NA,GQ505220,NA,NA,NA,NA,NA
Neophema_elegans,AY274037,EU621634,AY274065,AF076338,NA,NA,NA,NA,NA,NA
Neophema_petrophila,AF031912,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neophema_pulchella,NA,NA,NA,NA,GQ505218,NA,NA,NA,NA,NA
Neophema_splendida,NA,NA,NA,NA,GQ505217,NA,NA,NA,NA,NA
Neophron_percnopterus,X86757,NA,AY987054,NA,EF078750,NA,AY987165 - intron 7,NA,NA,NA
Neopipo_cinnamomea,NA,NA,EF501944,NA,FJ501690,EF501852,NA,EU231658,EU231756,EU231858
Neopsephotus_bourkii,NA,EU621635,EU327639,NA,GQ505221,NA,NA,NA,NA,NA
Neopsittacus_musschenbroekii,NA,EU621636,EU327640,NA,NA,NA,NA,NA,NA,NA
Neopsittacus_pullicauda,AF346325,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neothraupis_fasciata,AY383100,NA,AY383173,NA,NA,NA,NA,NA,NA,NA
Neotis_denhami,AF372036,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neotis_heuglinii,AF372038,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neotis_ludwigii,AF372039,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neotis_nuba,AF372017,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neoxolmis_rufiventris,NA,FJ027898,NA,NA,FJ501691,NA,NA,EU231739,EU231837,EU231940
Nephelornis_oneilli,AF006243,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nesillas_typica,NA,NA,NA,NA,NA,EU680665,NA,NA,EU680592,EU680744
Nesocharis_capistrata,EU423953,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nesocharis_shelleyi,NA,NA,AY323585,NA,NA,NA,NA,NA,NA,NA
Nesocichla_eremita,AY752384,NA,AY752342,DQ911029,NA,NA,NA,NA,EU154702,EU154816
Nesoctites_micromegas,DQ479254,NA,DQ479162,NA,NA,NA,DQ479231,NA,NA,NA
Nesoenas_mayeri,AF353408,NA,NA,NA,NA,NA,AF353459 extraction (reversed),NA,NA,NA
Nesoenas_picturata,AF353409,AF353508,AF353430,NA,NA,NA,AF353460 extraction (reversed),NA,NA,NA
Nesopsar_nigerrimus,AF089045,NA,AF099359,NA,NA,NA,NA,NA,NA,NA
Nesospingus_speculiferus,AF489889,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nesospiza_acunhae,DQ886507,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nesospiza_questi,DQ886515,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nesospiza_wilkinsi,DQ886519,NA,NA,NA,NA,NA,NA,NA,NA,NA
Netta_peposaca,EU585656,FJ027903,EU585719,NA,NA,NA,NA,NA,NA,NA
Netta_rufina,AF173759,GQ482234,EU585720,NA,NA,NA,NA,NA,NA,NA
Nettapus_coromandelianus,U46476,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nettapus_pulchellus,U46477,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nicator_chloris,NA,NA,DQ402188,DQ402249,AY319991,EU680666,NA,NA,EU680603,EU680745
Nicator_vireo,NA,NA,DQ402189,DQ402250,NA,NA,DQ402311 (reversed),NA,NA,NA
Nigrita_bicolor,NA,NA,AY323584,NA,NA,NA,NA,NA,NA,NA
Nigrita_canicapillus,NA,NA,AY136610,NA,NA,NA,NA,NA,NA,NA
Nilaus_afer,NA,NA,AY529963,NA,NA,AY529996,NA,DQ406638,AY529928,NA
Niltava_davidi,EF081353,EF422245,NA,NA,NA,NA,NA,NA,HM633634,HM633765
Niltava_grandis,HM633353,NA,NA,NA,NA,NA,NA,NA,HM633635,HM633766
Niltava_macgrigoriae,HM633354,NA,NA,NA,NA,NA,NA,NA,HM633636,HM633767
Niltava_sundara,EF081354,EF422246,GU237120,NA,NA,NA,NA,GU359018,GU358753,GU358883
Niltava_vivida,HM633356,NA,NA,NA,NA,NA,NA,NA,HM633638,HM633769
Ninox_boobook,NA,NA,NA,NA,EU348914,NA,NA,NA,NA,NA
Ninox_connivens,EU348981,NA,AF075557,NA,EU348913,NA,NA,NA,NA,NA
Ninox_natalis,NA,NA,AF075527,NA,NA,NA,NA,NA,NA,NA
Ninox_novaeseelandiae,NC_005932,NC_005932,NC_005932,NC_005932,NA,NA,NA,NA,NA,NA
Ninox_philippensis,AF115885,U83783,NA,NA,NA,NA,NA,NA,NA,NA
Ninox_rudolfi,EU348982,NA,NA,NA,EU348915,NA,NA,NA,NA,NA
Ninox_rufa,AF049096,NA,AF075565,NA,EU348916,NA,NA,NA,NA,NA
Ninox_scutulata,AJ004008,EU251422,NA,NA,EU348917,NA,NA,NA,NA,NA
Ninox_squamipila,NA,NA,AF075536,NA,NA,NA,NA,NA,NA,NA
Ninox_strenua,AF049097,NA,AF075570,NA,EU348918,NA,NA,NA,NA,NA
Nipponia_nippon,NC_008132,NC_008132,NC_008132,NC_008132,NA,NA,NA,NA,NA,NA
Nisaetus_alboniger,NC_007599,NC_007599,NC_007599,NC_007599,NA,NA,NA,NA,NA,NA
Nisaetus_bartelsi,EF459656,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nisaetus_cirrhatus,AJ604506,NA,AY987092,NA,AJ601462,NA,NA,NA,NA,NA
Nisaetus_lanceolatus,AY987271,NA,AY987091,NA,NA,NA,NA,NA,NA,NA
Nisaetus_nanus,AY987273,NA,AY987093,NA,NA,NA,NA,NA,NA,NA
Nisaetus_nipalensis,NC_007598,NC_007598,NC_007598,NC_007598,EF078759,NA,AY987189 - intron 7,NA,NA,NA
Nisaetus_philippensis,AJ604509,NA,NA,NA,AJ601465,NA,NA,NA,NA,NA
Nomonyx_dominicus,AY747858,FJ027905,AY747864,NA,NA,NA,NA,AY747829,NA,NA
Nonnula_rubecula,NA,FJ027906,NA,NA,NA,NA,NA,NA,NA,NA
Northiella_haematogaster,NA,EU621638,EU327642,NA,NA,NA,NA,NA,NA,NA
Notharchus_macrorhynchos,NA,NA,FJ175785,NA,NA,NA,NA,NA,NA,NA
Nothocrax_urumutum,AF165470,AF165494,AY140749,NA,AY140777,NA,NA,NA,NA,NA
Nothoprocta_cinerascens,NA,FJ027907,NA,NA,NA,NA,NA,NA,NA,NA
Nothoprocta_perdicaria,U76053,U76060,NA,NA,NA,NA,NA,NA,EU739902,NA
Nothura_darwinii,NA,FJ027908,NA,NA,NA,NA,NA,NA,NA,NA
Nothura_maculosa,NA,FJ027909,NA,NA,NA,NA,NA,NA,NA,NA
Notiochelidon_flavipes,AY825952,NA,AY826004,NA,NA,NA,NA,NA,NA,NA
Notiochelidon_murina,AY825951,NA,AY826002,NA,NA,NA,AY827418 - beta-fibrinogen intron 7,NA,NA,NA
Notiochelidon_pileata,AY825953,NA,AY826005,NA,NA,NA,AY827425 - beta-fibrinogen intron 7,NA,NA,NA
Notiomystis_cincta,NA,NA,HM159182,NA,DQ345904,NA,NA,NA,NA,NA
Nucifraga_caryocatactes,U86041,GQ482243,NA,NA,NA,NA,AY395610,NA,AY395590,NA
Nucifraga_columbiana,NA,DQ433842,NA,NA,NA,NA,NA,NA,NA,NA
Numenius_americanus,NA,AY666560,NA,NA,NA,NA,NA,NA,NA,NA
Numenius_arquata,AF417929,GQ482245,NA,NA,NA,NA,NA,NA,NA,NA
Numenius_madagascariensis,AF417925,GQ482246,NA,NA,NA,NA,NA,NA,NA,NA
Numenius_minutus,EF373145,NA,EF373253,NA,EF373195,NA,NA,NA,NA,NA
Numenius_phaeopus,AF417930,DQ434683,HM776969,NA,NA,NA,NA,NA,NA,NA
Numenius_tahitiensis,NA,DQ433046,NA,NA,NA,NA,NA,NA,NA,NA
Numida_meleagris,NC_006382,NC_006382,NC_006382,NC_006382,NA,EU739282,AY952653,AY952720,EU739995,NA
Nyctanassa_violacea,EU166979,DQ433047,EU166936,AF076362,NA,NA,AY695231,NA,NA,NA
Nyctibius_aethereus,X95781,NA,NA,NA,AF294659,NA,DQ881975,NA,AY233374,DQ881757
Nyctibius_bracteatus,GU586675,NA,EU042512,NA,NA,NA,EU739447 extraction,NA,EU739996,GU166930
Nyctibius_grandis,EU344977,EU344977,EU344977,EU344977,DQ482612,EU739283,EU739448 extraction,NA,EU739997,NA
Nyctibius_griseus,X95767,FJ027913,NA,NA,NA,NA,NA,NA,NA,NA
Nyctibius_jamaicensis,FJ588449,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyctibius_leucopterus,X95768,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyctibius_maculosus,EU167006,NA,EU166926,NA,NA,NA,NA,NA,NA,NA
Nycticorax_caledonicus,FJ499027,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nycticorax_nycticorax,AF193829,EF515757,NA,NA,NA,NA,NA,AF339347,NA,NA
Nyctidromus_albicollis,GU586677,DQ433850,FJ175721,NA,DQ482618,NA,NA,NA,NA,NA
Nyctiphrynus_mcleodii,U89195,AY275857,NA,NA,DQ482624,NA,NA,NA,NA,NA
Nyctiphrynus_ocellatus,GU586678,NA,NA,NA,DQ482625,NA,NA,NA,NA,NA
Nyctiphrynus_rosenbergi,GU586679,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyctiphrynus_yucatanicus,GU586681,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nyctiprogne_leucopyga,GU586682,NA,NA,NA,DQ482617,NA,NA,NA,NA,NA
Nyctyornis_amictus,NA,NA,EU021533,NA,NA,EU021595,NA,NA,NA,NA
Nymphicus_hollandicus,AF346399,EU621639,EU327643,NA,NA,NA,NA,NA,NA,NA
Oceanites_oceanicus,AF076062,DQ433048,NA,NA,NA,EU739284,EU739449 extraction,NA,EU739998,NA
Oceanodroma_castro,AJ004203,AY666400,NA,NA,NA,NA,NA,NA,NA,NA
Oceanodroma_furcata,AF076063,AY666306,NA,NA,NA,NA,NA,NA,NA,NA
Oceanodroma_homochroa,AJ004124,DQ433050,NA,NA,NA,NA,NA,NA,NA,NA
Oceanodroma_leucorhoa,AF076064,AY666284,NA,NA,NA,NA,AY695221,NA,NA,NA
Oceanodroma_melania,AF076065,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oceanodroma_tethys,AF076066,NA,NA,NA,NA,EU739285,EU739450 extraction,NA,EU739999,NA
Oceanodroma_tristrami,AF076067,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ochetorhynchus_andaecola,GQ140078,NA,NA,EF635364,NA,EF212075,EF635325,EF212146,EF212137,EF212122
Ochetorhynchus_melanura,GQ140074,NA,NA,EF635353,FJ461106,EF212046,EF635309,EF212144,EF212135,EF212094
Ochetorhynchus_phoenicurus,GQ140077,FJ027559,NA,EF635354,FJ461105,EF212051,EF635310,EF212145,EF212136,EF212099
Ochetorhynchus_ruficaudus,GQ140082,FJ028543,AY695005,EF635359,NA,EF212078,EF635320,EF212148,EF212139,EF212125
Ochthoeca_cinnamomeiventris,NA,NA,NA,NA,FJ501692,NA,NA,EU231717,EU231815,EU231918
Ochthoeca_diadema,NA,NA,NA,NA,NA,NA,NA,EU231716,EU231814,EU231917
Ochthoeca_oenanthoides,NA,FJ027922,NA,NA,FJ501693,NA,NA,NA,NA,NA
Ochthoeca_pulchella,NA,NA,NA,NA,FJ501745,NA,NA,NA,NA,NA
Ochthoeca_thoracica,NA,NA,EF501959,NA,NA,NA,NA,NA,NA,NA
Ochthornis_littoralis,NA,NA,NA,NA,FJ501694,NA,NA,NA,NA,NA
Ocreatus_underwoodii,NA,NA,AY830504,NA,NA,NA,AY830655 - Bfib intron 7,NA,NA,GU167047
Oculocincta_squamifrons,NA,NA,FJ460795,FJ460863,NA,NA,NA,NA,NA,NA
Ocyalus_latirostris,AF472382,NA,AF472407,NA,NA,NA,NA,NA,NA,NA
Ocyceros_gingalensis,GU257922,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ocyphaps_lophotes,AF483323,EF373372,EF373334,NA,EF373505,NA,EF373482 - FIB intron 7,NA,NA,NA
Odontorchilus_cinereus,AY352533,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oedistoma_pygmaeum,NA,NA,NA,NA,NA,NA,NA,EU272093,EU272104,EU272122
Oena_capensis,AF483353,EF373383,EF373345,NA,EF373516,NA,AF182674 (reversed),NA,NA,NA
Oenanthe_albonigra,GU055468,DQ683479,GU055420,NA,NA,NA,NA,NA,NA,NA
Oenanthe_bifasciata,EU421126,NA,GU055443,NA,NA,NA,NA,GU358973,GU358710,HM633770
Oenanthe_bottae,GU055469,NA,GU055421,NA,NA,NA,NA,NA,NA,NA
Oenanthe_chrysopygia,HM633358,DQ683481,NA,NA,NA,NA,NA,NA,HM633640,NA
Oenanthe_cypriaca,GU055470,NA,GU055422,NA,NA,NA,NA,NA,NA,NA
Oenanthe_deserti,GU055471,GQ482260,GU055423,NA,AY307202,NA,NA,GU359019,GU358754,GU358884
Oenanthe_finschii,GU055472,DQ683487,GU055424,NA,NA,NA,NA,NA,NA,NA
Oenanthe_hispanica,DQ285434,DQ683489,GU055426,NA,NA,NA,NA,NA,NA,NA
Oenanthe_isabellina,DQ285433,GQ482265,GU055427,NA,NA,NA,NA,NA,NA,NA
Oenanthe_leucopyga,GU055477,DQ683508,GU055429,NA,NA,NA,NA,NA,HM633641,HM633771
Oenanthe_leucura,GU055478,NA,GU055430,NA,NA,NA,NA,NA,NA,NA
Oenanthe_lugens,GU055479,DQ683497,GU055431,NA,NA,NA,NA,NA,HM633642,HM633772
Oenanthe_moesta,EU154591,DQ683500,NA,NA,NA,NA,NA,NA,EU154703,EU154817
Oenanthe_monacha,GU055480,NA,GU055432,NA,NA,NA,NA,NA,NA,NA
Oenanthe_monticola,HM633361,NA,NA,NA,NA,NA,NA,NA,HM633643,HM633773
Oenanthe_oenanthe,EU154592,AY666389,GU055433,NA,NA,NA,NA,GU359020,GU358755,EU154818
Oenanthe_phillipsi,GU055484,NA,GU055436,NA,NA,NA,NA,NA,NA,NA
Oenanthe_picata,GU055487,DQ683509,GU055439,NA,NA,NA,NA,NA,NA,NA
Oenanthe_pileata,GU055488,NA,GU055440,NA,NA,NA,NA,NA,NA,NA
Oenanthe_pleschanka,EU154593,DQ683506,GU055441,NA,NA,NA,NA,NA,EU154705,EU154819
Oenanthe_xanthoprymna,GU055490,NA,GU055442,NA,NA,NA,NA,NA,NA,NA
Oncostoma_cinereigulare,DQ294513,NA,DQ294558,DQ294427,FJ501695,DQ294469,NA,NA,NA,NA
Onychognathus_albirostris,NA,NA,EF468236,NA,NA,NA,NA,NA,NA,NA
Onychognathus_blythii,NA,NA,EF468245,NA,NA,NA,NA,NA,NA,NA
Onychognathus_frater,NA,NA,EF468246,NA,NA,NA,NA,NA,NA,NA
Onychognathus_fulgidus,NA,NA,EF468223,NA,NA,NA,NA,NA,NA,NA
Onychognathus_morio,NA,EF484163,DQ466869,NA,DQ466802,EF468271,EF471789,NA,DQ466831,NA
Onychognathus_nabouroup,NA,NA,EF468222,NA,NA,NA,NA,NA,NA,NA
Onychognathus_salvadorii,NA,EF484164,EF468134,NA,NA,EF468272,EF471791,NA,NA,NA
Onychognathus_tenuirostris,NA,EF484165,DQ466870,NA,DQ466803,EF468273,EF471792,NA,DQ466832,NA
Onychognathus_tristramii,NA,EF484166,EF468136,NA,NA,EF468274,EF471793,NA,NA,NA
Onychognathus_walleri,NA,EF484167,EF468137,NA,NA,EF468275,EF471794,EU551902,EU551873,EU551933
Onychorhynchus_coronatus,DQ294516,NA,DQ294560,DQ294429,FJ501696,DQ294471,NA,NA,NA,NA
Onychorhynchus_occidentalis,NA,NA,NA,NA,NA,NA,NA,EU231653,EU231751,EU231853
Opisthoprora_euryptera,NA,NA,EU042572,NA,NA,NA,EU042407 extraction (reversed),NA,NA,GU167048
Oporornis_agilis,AY216854,DQ434686,AY650196,NA,NA,GU931998,NA,NA,GU932319,NA
Oporornis_formosus,AF383017,DQ434687,AY650201,NA,NA,GU931999,NA,NA,GU932320,NA
Oporornis_philadelphia,AY309244,DQ434688,AY650206,NA,NA,GU932000,NA,NA,GU932321,NA
Oporornis_tolmiei,AF383029,DQ434690,AF383145,NA,NA,GU932001,NA,NA,GU932322,NA
Oreoica_gutturalis,AY443255,NA,EF592284,NA,AY443307,NA,NA,NA,FJ821094,NA
Oreolais_pulchra,NA,NA,DQ871388,EU247906,NA,NA,NA,NA,DQ871432,NA
Oreolais_ruwenzorii,NA,NA,DQ871372,EU247908,NA,NA,NA,NA,DQ871410,NA
Oreomanes_fraseri,AF006244,NA,EU647953,NA,NA,NA,NA,NA,NA,NA
Oreomystis_bairdi,AF015763,NA,FJ266298,NA,FJ266152,NA,NA,FJ266096,NA,NA
Oreomystis_mana,AF015758,NA,FJ266305,NA,FJ266158,NA,NA,FJ266103,NA,NA
Oreonympha_nobilis,U90098,NA,AY830505,NA,NA,NA,AY830656 - Bfib intron 7,NA,NA,NA
